orcid,nome,genero
orcid.org/0000-0003-1140-4513,Marcio M. Pereira,Masculino
orcid.org/0000-0003-1214-3431,Hervé Yviquel,Masculino
orcid.org/0000-0003-1273-9809,Hermes Senger,Masculino
orcid.org/0000-0003-1303-3760,Hilder Vitor Lima Pereira,Masculino
orcid.org/0000-0003-1323-0502,Paulo Rosa,Masculino
orcid.org/0000-0003-1381-4794,Maycon Sambinelli,Masculino
orcid.org/0000-0003-1399-7535,Marco Gerosa,Masculino
orcid.org/0000-0003-1449-8834,William Schwartz,Masculino
orcid.org/0000-0003-1495-5935,Leonardo Castro Botega,Masculino
orcid.org/0000-0003-1527-9668,Karol Desnos,Feminino
orcid.org/0000-0003-1531-7249,Marina Atsumi Oikawa,Feminino
orcid.org/0000-0003-1561-8447,Alberto Ferreira De Souza,Masculino
orcid.org/0000-0003-1574-0362,Cesar Marcondes,Masculino
orcid.org/0000-0003-1690-1201,Hugo do Nascimento,Masculino
orcid.org/0000-0003-1691-6243,Emilson Leite,Masculino
orcid.org/0000-0003-1707-1887,Celso Cavellucci,Masculino
orcid.org/0000-0003-1720-5080,Guilherme Avansi,Masculino
orcid.org/0000-0003-1752-6255,Mauricio Breternitz,Masculino
orcid.org/0000-0003-1766-5757,Andre Gregio,Masculino
orcid.org/0000-0003-1781-2630,Leo Sampaio Ferraz Ribeiro,Feminino
orcid.org/0000-0003-1783-4231,Edson Borin,Masculino
orcid.org/0000-0003-1802-7829,Ricardo Ferreira,Masculino
orcid.org/0000-0003-1840-2895,Rodrigo Duran,Masculino
orcid.org/0000-0003-1908-4753,Claudia Medeiros,Feminino
orcid.org/0000-0003-1929-9391,Leonardo Cunha de Miranda,Masculino
orcid.org/0000-0003-1979-7817,Tiago Coimbra,Masculino
orcid.org/0000-0003-2046-602X,Nelson L. S. da Fonseca,Masculino
orcid.org/0000-0003-2059-9463,Moacir Ponti,Masculino
orcid.org/0000-0003-2070-2061,Sergio Matioli,Masculino
orcid.org/0000-0003-2111-1319,Thiago Pardo,Masculino
orcid.org/0000-0003-2112-4806,Cristina Vasconcelos,Feminino
